,ds,yhat,yhat_lower,yhat_upper
94,2021-11-20 14:29:39,28647504.72129203,14993617.87433382,43582852.631441996
95,2021-11-20 14:29:44,28653010.190704852,15718569.450655654,42137772.05806772
96,2021-11-20 14:29:49,28658515.660117675,15343645.738141043,42560519.100551255
97,2021-11-20 14:29:54,28664021.129530497,13517198.863264266,41626097.6440057
98,2021-11-20 14:29:59,28669526.59894332,15443615.152313804,43444203.83706653
99,2021-11-20 14:30:04,28675032.068356138,13529388.837721067,42167872.64373721
100,2021-11-20 14:30:09,28680537.53776896,15027070.741713205,41582024.35931293
101,2021-11-20 14:30:14,28686043.007181782,14358491.305047292,44027740.451834746
102,2021-11-20 14:30:19,28691548.476594605,14650615.952282071,42822911.6677661
103,2021-11-20 14:30:24,28697053.946007427,13258700.347035967,43220801.61053447
104,2021-11-20 14:30:29,28702559.415420245,15689061.665768094,41910542.254729934
105,2021-11-20 14:30:34,28708064.884833068,15643599.971628655,42117498.99379846
106,2021-11-20 14:30:39,28713570.35424589,14470007.768401558,42044882.74596276
107,2021-11-20 14:30:44,28719075.823658712,13993387.29836948,41163029.73369105
108,2021-11-20 14:30:49,28724581.293071534,15706109.397974726,41165018.59166604
109,2021-11-20 14:30:54,28730086.762484357,14897718.20033543,42671363.7785382
110,2021-11-20 14:30:59,28735592.231897175,15403544.09039999,41866345.36092975
111,2021-11-20 14:31:04,28741097.701309998,14449368.25073776,41811560.54213449
112,2021-11-20 14:31:09,28746603.17072282,14774261.266315304,42607272.2969791
113,2021-11-20 14:31:14,28752108.640135642,14369856.198310198,41636006.100271665
114,2021-11-20 14:31:19,28757614.109548464,13954141.399629725,43012063.47004344
115,2021-11-20 14:31:24,28763119.578961287,13937463.466769306,43872135.19795648
116,2021-11-20 14:31:29,28768625.048374105,14993945.616744949,42567280.52752609
117,2021-11-20 14:31:34,28774130.517786928,15214572.128043344,42710135.96715719
118,2021-11-20 14:31:39,28779635.98719975,14923867.776498733,44539365.09589932
119,2021-11-20 14:31:44,28785141.456612572,15571957.098073704,42616640.47820458
120,2021-11-20 14:31:49,28790646.926025394,14808653.200881151,42939394.103705965
121,2021-11-20 14:31:54,28796152.395438217,15288958.54011332,42834590.59062404
122,2021-11-20 14:31:59,28801657.864851035,14866435.755730765,42831231.695777275
123,2021-11-20 14:32:04,28807163.334263857,15195250.324334536,42640535.27039473
124,2021-11-20 14:32:09,28812668.80367668,15613657.777143186,43243422.697676994
125,2021-11-20 14:32:14,28818174.273089502,14626068.377829416,43408643.97868615
126,2021-11-20 14:32:19,28823679.742502324,16945693.931842603,41580550.00892017
127,2021-11-20 14:32:24,28829185.211915147,14801720.371626237,42551638.790578075
128,2021-11-20 14:32:29,28834690.681327965,14779650.68109393,43381431.269542664
129,2021-11-20 14:32:34,28840196.150740787,13675537.058305195,42113519.52038433
130,2021-11-20 14:32:39,28845701.62015361,15362924.11246376,41708988.382522956
131,2021-11-20 14:32:44,28851207.089566432,16199643.700893769,42448605.47813281
132,2021-11-20 14:32:49,28856712.558979254,15414059.930443909,41898314.77219179
133,2021-11-20 14:32:54,28862218.028392076,15232825.507003345,43476011.13152657
134,2021-11-20 14:32:59,28867723.4978049,14017142.557348615,42803528.18698521
135,2021-11-20 14:33:04,28873228.96721772,15350879.053014647,42347692.80111338
136,2021-11-20 14:33:09,28878734.436630543,14779747.274352765,42285977.752950475
137,2021-11-20 14:33:14,28884239.906043366,16553273.720142847,42281593.166117415
138,2021-11-20 14:33:19,28889745.375456188,15467316.983154757,44253716.49791532
139,2021-11-20 14:33:24,28895250.843225308,15014983.629769396,42068918.39469479
140,2021-11-20 14:33:29,28900756.310994435,15543634.556304088,42305887.198419765
141,2021-11-20 14:33:34,28906261.778763555,16376972.76147625,42008981.78179111
142,2021-11-20 14:33:39,28911767.24653268,16317661.94531891,42969029.377207115
143,2021-11-20 14:33:44,28917272.714301802,12928859.987505639,42211218.58846706
144,2021-11-20 14:33:49,28922778.182070926,15842653.236516103,40922024.54864977
145,2021-11-20 14:33:54,28928283.649840046,14478882.204953214,43149156.542016774
146,2021-11-20 14:33:59,28933789.117609173,14800865.895778656,43378524.387811676
147,2021-11-20 14:34:04,28939294.585378297,15982796.85996544,41551342.85296669
148,2021-11-20 14:34:09,28944800.053147417,14746541.484147783,42227800.28777087
