ds,yhat,yhat_lower,yhat_upper
2021-11-21 12:17:00,43947.54278519767,-193556.80330684994,287948.3913770942
2021-11-21 12:17:30,42881.55617759391,-189646.78881367075,276942.35152264504
2021-11-21 12:18:00,41829.60620960766,-177409.43969860623,252816.95259473714
2021-11-21 12:18:30,40814.24862684769,-167471.62203258713,252354.67538724717
2021-11-21 12:19:00,39857.71978023253,-187354.93122146765,262760.0748598306
2021-11-21 12:19:30,38981.48709163232,-182999.1506341839,266836.00511292694
2021-11-21 12:20:00,38205.80830136242,-174312.54823781498,272994.4419310715
2021-11-21 12:20:30,37549.307425807296,-178511.02223175316,265379.9358287372
2021-11-21 12:21:00,37028.57628196719,-180554.67763850806,274055.2555677379
2021-11-21 12:21:30,36657.808826173634,-218292.12107964858,269361.2164969656
2021-11-21 12:22:00,36448.47578989346,-187244.5982052192,254627.51341365368
2021-11-21 12:22:30,36409.046247022154,-201990.36427964046,268868.0543328628
2021-11-21 12:23:00,36544.761832708595,-186379.99020490242,263092.61530808057
2021-11-21 12:23:30,36857.46874763344,-187160.5838873615,248683.39785613335
2021-11-21 12:24:00,37345.511260015555,-181355.3061823656,269135.55792859395
2021-11-21 12:24:30,38003.68981007774,-186426.47664731296,257015.41416660056
2021-11-21 12:25:00,38823.28530274809,-185001.41550320873,267273.0866925856
2021-11-21 12:25:30,39792.15040733515,-182557.62861950352,262184.8107650168
2021-11-21 12:26:00,40894.86688841197,-175233.75895369865,256628.31301988667
2021-11-21 12:26:30,42112.96759664155,-175606.36700342502,275595.7964390281
2021-11-21 12:27:00,43425.21964261819,-195236.76864095393,278043.7163926539
2021-11-21 12:27:30,44807.96527269654,-178937.76863430528,259882.80238389163
2021-11-21 12:28:00,46235.514396024955,-180864.82735503066,284731.2799537224
2021-11-21 12:28:30,47680.58355819056,-180570.65735165222,261019.04741856805
2021-11-21 12:29:00,49114.77338315665,-173866.35799416935,276776.7170222856
2021-11-21 12:29:30,50509.07716305546,-192540.94619057837,266456.20418683725
2021-11-21 12:30:00,51834.411783963544,-145355.7197467953,280507.81213375437
2021-11-21 12:30:30,53062.162304211335,-177987.96434887545,272282.6272189194
2021-11-21 12:31:00,54164.730144302186,-185200.60211009116,287322.5306215042
2021-11-21 12:31:30,55116.075986463744,-181072.09839152484,286546.331090809
2021-11-21 12:32:00,55892.24733277684,-200304.2790248773,261975.9242273799
2021-11-21 12:32:30,56471.88113162008,-146496.23508297754,301228.5277297123
2021-11-21 12:33:00,56836.67270394667,-193017.85541568638,277414.18318820116
2021-11-21 12:33:30,56971.801575843136,-165988.34243907357,285987.74607210583
2021-11-21 12:34:00,56866.30669678114,-152862.7704117249,290656.240300067
2021-11-21 12:34:30,56513.40313686652,-183234.99460895648,293406.008725194
2021-11-21 12:35:00,55910.73392189569,-190048.10111425,273984.4347884659
2021-11-21 12:35:30,55060.55167518702,-147649.2291469615,261727.95179331696
2021-11-21 12:36:00,53969.82541598539,-173038.13265632506,294655.0751192271
2021-11-21 12:36:30,52650.26953065474,-180897.82503236138,288804.3305601311
2021-11-21 12:37:00,51118.29284623008,-165548.15881886447,271923.7822320283
2021-11-21 12:37:30,49394.86740603762,-179111.19063458894,263171.8261541492
2021-11-21 12:38:00,47505.31751719484,-182013.26676857934,280532.44127125264
2021-11-21 12:38:30,45479.03118091215,-172718.1633617287,282194.3338599887
2021-11-21 12:39:00,43349.09755728585,-177696.5248902295,276464.52605961135
2021-11-21 12:39:30,41151.874770140814,-194961.97606617972,270987.8000265975
2021-11-21 12:40:00,38926.49412874285,-204801.7733743748,254058.53427340556
2021-11-21 12:40:30,36714.3080405069,-185075.64292809734,257314.24305993147
2021-11-21 12:41:00,34558.28927548289,-201719.88770061993,277120.6872565505
2021-11-21 12:41:30,32502.39058326832,-189368.6387014102,256440.91472431715
2021-11-21 12:42:00,30590.874913991254,-183917.98858106445,251703.29190509094
2021-11-21 12:42:30,28867.625666027125,-199314.07856265147,244321.37119055964
2021-11-21 12:43:00,27375.448624060646,-215835.39852972582,227529.47388692913
2021-11-21 12:43:30,26155.375867228977,-221732.05639692533,254874.11572554128
2021-11-21 12:44:00,25245.98349550847,-189240.50038473215,265974.907425926
2021-11-21 12:44:30,24682.73357495442,-214851.6602020617,275995.0291402876
2021-11-21 12:45:00,24497.35155334026,-212794.8573684895,240339.173758084
2021-11-21 12:45:30,24717.24921488137,-181838.40844000012,240705.69975307691
2021-11-21 12:46:00,25365.003000512843,-198610.7953831335,225100.22727423348
2021-11-21 12:46:30,26457.896610643227,-181661.62934344145,247949.84155692538
2021-11-21 12:47:00,28007.53598173206,-223506.12873421342,259578.8008600211
2021-11-21 12:47:30,30019.54325965314,-215202.46496612596,241993.03536066902
2021-11-21 12:48:00,32493.336123511854,-210579.47417463394,258041.5176279941
2021-11-21 12:48:30,35421.996175221764,-196978.00619354023,259073.2033821313
2021-11-21 12:49:00,38792.23021539,-177633.27958770783,268060.4058873501
2021-11-21 12:49:30,42584.4254735361,-186191.44086340698,277504.4000753659
2021-11-21 12:50:00,46772.79959394815,-185543.02234709877,262921.18339404184
2021-11-21 12:50:30,51325.64319402325,-164364.27025963092,257144.68526655025
2021-11-21 12:51:00,56205.65345010868,-152867.111797766,277150.6037275973
2021-11-21 12:51:30,61370.35371588477,-140707.09645576825,278549.722768828
2021-11-21 12:52:00,66772.59355402146,-192904.995453517,307287.770355444
2021-11-21 12:52:30,72361.12287236075,-151860.28131115224,301579.7844136059
2021-11-21 12:53:00,78081.23210826347,-157193.89527009006,308224.3624655636
2021-11-21 12:53:30,83875.44836618887,-131605.7653976107,316388.6815209969
2021-11-21 12:54:00,89684.27911944239,-120279.13603546684,308525.9461579466
2021-11-21 12:54:30,95446.99134171549,-123498.84994426284,333504.10438224534
2021-11-21 12:55:00,101102.41495013093,-118962.51982201646,320093.79154680663
2021-11-21 12:55:30,106589.75921013122,-120683.34989898086,334459.3921788341
2021-11-21 12:56:00,111849.42961724417,-136737.73338433774,342944.47594625875
2021-11-21 12:56:30,116823.83269429914,-102391.11012047871,331077.59055465733
2021-11-21 12:57:00,121458.15774608233,-122749.40055525658,334431.96402995085
2021-11-21 12:57:30,125701.12286830475,-88289.59131143743,375041.7987183708
2021-11-21 12:58:00,129505.67467658943,-93765.15116989567,344237.22786332236
2021-11-21 12:58:30,132829.63059307652,-84465.9787273846,345739.05220265785
2021-11-21 12:59:00,135636.25486469927,-99496.96525395551,345402.3759779911
2021-11-21 12:59:30,137894.75917856686,-82527.20139256526,380817.13614750165
2021-11-21 13:00:00,139580.72009604477,-81386.34418009309,346506.27427371015
2021-11-21 13:00:30,140676.40775702588,-70943.0436486366,358687.33973055094
2021-11-21 13:01:00,141171.02046293576,-70331.98507510002,366810.9623751189
2021-11-21 13:01:30,141060.8216799485,-93674.42859955237,360936.7252036368
2021-11-21 13:02:00,140349.17779673723,-94057.18222204607,382312.95019658253
2021-11-21 13:02:30,139046.4958278502,-62741.76702967919,374048.7396896279
2021-11-21 13:03:00,137170.0624432797,-114933.71529550428,381064.6532276539
2021-11-21 13:03:30,134743.786592122,-105967.99057004471,363061.23367702035
2021-11-21 13:04:00,131797.85001773783,-98894.64656369724,360735.25693864375
2021-11-21 13:04:30,128368.27103166087,-122353.21884154649,355566.4349473854
2021-11-21 13:05:00,124496.3881470953,-130678.11458967498,368613.4893902738
2021-11-21 13:05:30,120228.27171305218,-100241.07588370952,341450.32876612595
2021-11-21 13:06:00,115614.07234740033,-123039.97623384076,351274.8838339252
2021-11-21 13:06:30,110707.31663417927,-108581.64554412787,343604.57386306144
2021-11-21 13:07:00,105564.16015977779,-142609.81147284916,326584.90541819343
2021-11-21 13:07:30,100242.60927970725,-134593.7629778363,353186.0842040988
2021-11-21 13:08:00,94801.72434232758,-136415.25816509596,324388.3225177201
2021-11-21 13:08:30,89300.81490725194,-140493.28527508044,298812.3547123228
2021-11-21 13:09:00,83798.63986078004,-155974.9417218828,314969.5728335549
2021-11-21 13:09:30,78352.62443975682,-174524.0345030144,304959.72732680873
2021-11-21 13:10:00,73018.10532652194,-168229.04984640775,299582.16605146957
2021-11-21 13:10:30,67847.61438619992,-159443.7261534035,293985.6723084602
2021-11-21 13:11:00,62890.21306916165,-146762.87106725966,289896.1553336231
2021-11-21 13:11:30,58190.885092095814,-171941.4191186453,279026.90314325556
2021-11-21 13:12:00,53789.99708001156,-182042.35999754586,277101.7527671571
2021-11-21 13:12:30,49722.834165605775,-181295.33551100123,286948.5250340635
2021-11-21 13:13:00,46019.21720265842,-157952.9145882311,285366.45353886613
2021-11-21 13:13:30,42703.20577734302,-182196.38227851706,273350.2747967554
2021-11-21 13:14:00,39792.89082642992,-200203.08408389793,266402.1166212041
2021-11-21 13:14:30,37300.279469083966,-213375.1096058342,264562.54035993683
2021-11-21 13:15:00,35231.2715705241,-213857.43450544728,253236.14219052508
2021-11-21 13:15:30,33585.72811967084,-209109.30991947174,280395.72396516
2021-11-21 13:16:00,32357.62872036275,-168656.86148067145,266894.3463810276
2021-11-21 13:16:30,31535.314682340628,-189709.6923320215,250556.9648027342
2021-11-21 13:17:00,31101.812563722353,-189546.66329911648,224262.79821083945
2021-11-21 13:17:30,31035.2322844495,-187813.31779107146,277175.25926306995
2021-11-21 13:18:00,31309.232219115518,-205061.5423934073,264998.2913179141
2021-11-21 13:18:30,31893.54319002282,-198134.84934336,252834.78223931423
2021-11-21 13:19:00,32754.542182779354,-202270.9873798814,254176.29331666284
2021-11-21 13:19:30,33855.8658585235,-186993.62603593105,265916.7927801908
2021-11-21 13:20:00,35159.05381993277,-199286.37041215357,275479.3154223725
2021-11-21 13:20:30,36624.210692967885,-176148.77491337314,255147.2299416635
2021-11-21 13:21:00,38210.676239537046,-175109.77607126528,257328.24205554198
2021-11-21 13:21:30,39877.69273896056,-194398.97555369957,249594.15239158995
2021-11-21 13:22:00,41585.05904965842,-187786.45953097192,266553.84348782833
2021-11-21 13:22:30,43293.76073707361,-190433.69228582538,274495.50136613304
2021-11-21 13:23:00,44966.56683342329,-183493.40981681648,305127.31301177037
2021-11-21 13:23:30,46568.58404797016,-155916.00287773873,268948.62241626054
2021-11-21 13:24:00,48067.759876497556,-180724.25237485842,272482.7533188463
2021-11-21 13:24:30,49435.32771524316,-168741.65314212933,262231.80206007307
2021-11-21 13:25:00,50646.18736886928,-165818.01132623217,268683.50917160284
2021-11-21 13:25:30,51679.21586794417,-172864.9087496117,290030.8683625046
2021-11-21 13:26:00,52517.50487692688,-165378.12802554772,267783.58009983343
