ds,yhat,yhat_lower,yhat_upper
2021-11-21 12:29:30,29001500.0397031,15328686.403205354,43323032.96453749
2021-11-21 12:30:00,29137004.966920067,15356621.239292128,43901541.095268175
2021-11-21 12:30:30,29263561.093914606,14672941.21455788,42803978.41016686
2021-11-21 12:31:00,29378739.099019386,15225990.493650652,42834305.620733134
2021-11-21 12:31:30,29480264.425162062,15465339.191942187,43781640.96081651
2021-11-21 12:32:00,29566063.95984094,15277128.800066315,43662418.38685517
2021-11-21 12:32:30,29634310.025117077,16329110.434799133,45008772.64385734
2021-11-21 12:33:00,29683460.89395845,15242651.116472434,43362795.01476196
2021-11-21 12:33:30,29712296.992641594,14240496.084902443,43409976.86905653
2021-11-21 12:34:00,29719952.137704026,16340591.729214035,44252907.412922114
2021-11-21 12:34:30,29705939.12053352,15237546.632117778,45953306.81034136
2021-11-21 12:35:00,29670169.1109723,14710474.056783581,43423409.90082268
2021-11-21 12:35:30,29612964.44783843,16182722.999657834,43585778.57032055
2021-11-21 12:36:00,29535064.45043391,16024530.15992965,44201373.942522295
2021-11-21 12:36:30,29437624.05110082,15839875.447575415,43575569.87140022
2021-11-21 12:37:00,29322205.128315113,15183271.126678074,43418545.652865715
2021-11-21 12:37:30,29190760.58053701,14716685.654136064,43688675.58720255
2021-11-21 12:38:00,29045611.27325698,16038891.896088284,43195887.873477004
2021-11-21 12:38:30,28889416.12964095,14927387.02748685,42941806.49239631
2021-11-21 12:39:00,28725135.775563765,13663625.203646526,44238559.18723455
2021-11-21 12:39:30,28555990.216082714,13128976.430850063,41913720.51708456
2021-11-21 12:40:00,28385411.165898312,13149768.165076774,42453526.810603775
2021-11-21 12:40:30,28216989.76624935,13001445.225858653,41598823.99950761
2021-11-21 12:41:00,28054420.461283352,12659078.799261173,43809678.96381855
2021-11-21 12:41:30,27901441.89813094,13808174.331662113,42064449.5649854
2021-11-21 12:42:00,27761775.843630098,14459504.355737347,42357748.70602332
2021-11-21 12:42:30,27639065.009300314,13532023.023691004,41885561.211357884
2021-11-21 12:43:00,27536810.88257892,13630341.31232853,42551410.65660068
2021-11-21 12:43:30,27458312.510622934,11983486.729192723,42083601.82857549
2021-11-21 12:44:00,27406607.3233953,11880275.751932962,41627810.80945869
2021-11-21 12:44:30,27384414.938849024,13152420.808553578,42102806.33879386
